1 4.90000000000e-02  5.242e+03 6.821e-13 5.041e+00 4.246e+06
2 1.12000000000e-01  5.104e+03 3.681e+02 5.008e+00 4.224e+06
3 1.65000000000e-01  4.925e+03 7.414e+02 4.939e+00 4.175e+06
4 2.32000000000e-01  4.681e+03 1.099e+03 4.806e+00 4.075e+06
5 3.12000000000e-01  4.359e+03 1.417e+03 4.590e+00 3.912e+06
6 3.64000000000e-01  3.953e+03 1.673e+03 4.282e+00 3.673e+06
7 4.25000000000e-01  3.469e+03 1.844e+03 3.880e+00 3.357e+06
8 5.05000000000e-01  2.923e+03 1.920e+03 3.397e+00 2.972e+06
9 5.82000000000e-01  2.343e+03 1.902e+03 2.857e+00 2.533e+06
10 6.54000000000e-01  2.485e+03 1.870e+03 2.850e+00 2.322e+06
11 7.11000000000e-01  2.616e+03 1.780e+03 3.040e+00 2.523e+06
12 7.68000000000e-01  2.591e+03 1.755e+03 3.046e+00 2.578e+06
13 8.24000000000e-01  2.551e+03 1.768e+03 2.995e+00 2.532e+06
14 8.78000000000e-01  2.433e+03 1.736e+03 2.893e+00 2.481e+06
15 9.29000000000e-01  2.418e+03 1.695e+03 2.715e+00 2.346e+06
16 9.94000000000e-01  2.528e+03 1.659e+03 2.883e+00 2.493e+06
17 1.06900000000e+00  2.517e+03 1.728e+03 2.879e+00 2.533e+06
18 1.15200000000e+00  2.423e+03 1.721e+03 2.844e+00 2.460e+06
19 1.21100000000e+00  2.348e+03 1.639e+03 2.781e+00 2.372e+06
20 1.26000000000e+00  2.348e+03 1.607e+03 2.657e+00 2.299e+06
21 1.32600000000e+00  2.429e+03 1.624e+03 2.775e+00 2.418e+06
22 1.38700000000e+00  2.406e+03 1.669e+03 2.778e+00 2.436e+06
23 1.45500000000e+00  2.287e+03 1.647e+03 2.677e+00 2.354e+06
24 1.50800000000e+00  2.239e+03 1.556e+03 2.637e+00 2.237e+06
25 1.56400000000e+00  2.231e+03 1.509e+03 2.543e+00 2.190e+06
26 1.62900000000e+00  2.305e+03 1.539e+03 2.645e+00 2.294e+06
27 1.70000000000e+00  2.287e+03 1.578e+03 2.647e+00 2.310e+06
28 1.75900000000e+00  2.183e+03 1.559e+03 2.552e+00 2.241e+06
29 1.81900000000e+00  2.134e+03 1.479e+03 2.500e+00 2.108e+06
30 1.89100000000e+00  2.108e+03 1.418e+03 2.406e+00 2.062e+06
31 1.97000000000e+00  2.185e+03 1.445e+03 2.508e+00 2.165e+06
32 2.04000000000e+00  2.181e+03 1.488e+03 2.521e+00 2.191e+06
33 2.09800000000e+00  2.102e+03 1.480e+03 2.451e+00 2.143e+06
34 2.14800000000e+00  2.036e+03 1.417e+03 2.373e+00 2.014e+06
35 2.19300000000e+00  1.988e+03 1.336e+03 2.313e+00 1.963e+06
36 2.24400000000e+00  2.075e+03 1.353e+03 2.377e+00 2.042e+06
37 2.29000000000e+00  2.091e+03 1.404e+03 2.410e+00 2.085e+06
38 2.34400000000e+00  2.037e+03 1.411e+03 2.366e+00 2.060e+06
39 2.40100000000e+00  1.945e+03 1.368e+03 2.259e+00 1.963e+06
40 2.44600000000e+00  1.901e+03 1.289e+03 2.224e+00 1.876e+06
41 2.48900000000e+00  1.973e+03 1.265e+03 2.253e+00 1.926e+06
42 2.53400000000e+00  2.010e+03 1.326e+03 2.308e+00 1.987e+06
43 2.57700000000e+00  1.983e+03 1.348e+03 2.293e+00 1.988e+06
44 2.62600000000e+00  1.891e+03 1.327e+03 2.206e+00 1.923e+06
45 2.67300000000e+00  1.838e+03 1.268e+03 2.141e+00 1.806e+06
46 2.71800000000e+00  1.873e+03 1.198e+03 2.133e+00 1.813e+06
47 2.76700000000e+00  1.933e+03 1.252e+03 2.211e+00 1.894e+06
48 2.81700000000e+00  1.933e+03 1.289e+03 2.225e+00 1.919e+06
49 2.86400000000e+00  1.874e+03 1.288e+03 2.173e+00 1.886e+06
50 2.91600000000e+00  1.779e+03 1.249e+03 2.063e+00 1.798e+06
51 2.96500000000e+00  1.774e+03 1.182e+03 2.016e+00 1.702e+06
52 3.01300000000e+00  1.854e+03 1.178e+03 2.113e+00 1.800e+06
53 3.05900000000e+00  1.880e+03 1.229e+03 2.155e+00 1.848e+06
54 3.10400000000e+00  1.853e+03 1.248e+03 2.138e+00 1.847e+06
55 3.15200000000e+00  1.767e+03 1.227e+03 2.056e+00 1.785e+06
56 3.19800000000e+00  1.683e+03 1.179e+03 1.960e+00 1.687e+06
57 3.24200000000e+00  1.769e+03 1.109e+03 2.010e+00 1.702e+06
58 3.28500000000e+00  1.820e+03 1.165e+03 2.078e+00 1.772e+06
59 3.32900000000e+00  1.822e+03 1.201e+03 2.091e+00 1.797e+06
60 3.37400000000e+00  1.768e+03 1.202e+03 2.045e+00 1.768e+06
61 3.42100000000e+00  1.673e+03 1.172e+03 1.952e+00 1.697e+06
62 3.46300000000e+00  1.679e+03 1.119e+03 1.901e+00 1.601e+06
63 3.50800000000e+00  1.754e+03 1.100e+03 1.994e+00 1.691e+06
64 3.55300000000e+00  1.782e+03 1.150e+03 2.036e+00 1.740e+06
65 3.59800000000e+00  1.761e+03 1.170e+03 2.025e+00 1.743e+06
66 3.65000000000e+00  1.692e+03 1.159e+03 1.961e+00 1.698e+06
67 3.69300000000e+00  1.590e+03 1.123e+03 1.859e+00 1.618e+06
68 3.73700000000e+00  1.678e+03 1.067e+03 1.901e+00 1.603e+06
69 3.78000000000e+00  1.730e+03 1.093e+03 1.969e+00 1.674e+06
70 3.82400000000e+00  1.739e+03 1.131e+03 1.991e+00 1.704e+06
